id,Lat,Long,InjTopDepth,InjBotDepth,TotalCumVolume,AvgPressurePSI,WellStatus,WellType,QuakeDepth,Maxmagnitude,CountQuake,Avgmagnitude
1458,36.85,-98,4991,5016,177881,745.6428571,AC,2RIn,4.319666667,2.7,3,1.933333333
1459,35.76,-96.9,5400,6400,3214166,NA,AC,2DNC,5,0.8,1,0.8
1461,35.86,-97,4200,4400,350,NA,AC,2DNC,5,1.5,1,1.5
1467,35.89,-97.5,7300,8700,1096042,127.3044742,AC,2DNC,5,1.7,1,1.7
1468,36.65,-98.5,6526.5,9303,5935138,253.2916667,AC,2DNC,6.464304348,3.7,23,2.491304348
1476,36.58,-98,6848,8889.5,19467519,83.76488095,AC,2DNC,5,1.7,1,1.7
1480,36.61,-98.1,NA,NA,29972504,354.8571429,AC,2DNC,5.642111111,3.2,9,2.377777778
1481,34.48,-97.6,3606.863636,4165.681818,27178323.31,609.328991,AC,2RIn,5,2.1,1,2.1
1483,34.49,-97.7,1681.8,1825.6,7818177,567.7542451,AC,2RIn,5,2.1,2,1.75
1484,34.44,-97.7,887.6296296,1263.259259,19547099,343.0189405,AC,2DNC,12.003,2.3,1,2.3
1485,34.47,-97.6,2880.5,3697.857143,27029623,821.8992597,AC,2RIn,5,2.1,1,2.1
1486,34.47,-97.7,1748.416667,1837.666667,29782346.9,566.3017277,AC,2RIn,7.0225,1.7,2,1.55
1487,34.45,-97.7,1823.861111,2244,24056242.77,512.9960255,AC,2RIn,12.8075,1.8,2,1.8
1489,35.22,-96.6,NA,NA,1202000,76.19047619,AC,2DNC,7.193,1.7,1,1.7
1490,36.67,-97.4,4330,4342,586952,99.80952381,AC,2RIn,7.066333333,2.1,3,1.966666667
1492,34.3,-97.5,716,1058,2411375,340,AC,2RIn,5,1.8,1,1.8
1493,35.95,-96.6,2522.263158,2476.578947,12981893,153.1651708,AC,2RIn,5.15,1.8,1,1.8
1494,36.1,-96.8,3430,3450,622300,225.297619,TM,2D,5,1.6,2,1.55
1496,35.53,-97,NA,NA,493248,86.79166667,AC,2DNC,5,1,1,1
1504,35.3,-96.5,3603,3619,3678142,125,AC,2DNC,5,0.6,1,0.6
1506,36.96,-98.2,5725,6950,18638367,37.33874459,AC,2DNC,5,2.3,4,1.925
1507,36.56,-97.9,5754,7526.666667,30044712.3,214.5991162,AC,2DNC,4.43375,2.4,4,2.125
1509,36.26,-96.9,NA,NA,426700,122.6736111,AC,2RIn,4.8352,1.9,5,1.26
1511,36.14,-96.8,3477.5,3484,1596000,NA,AC,2RIn,6.018944444,3.2,18,2.172222222
1520,33.98,-97.1,NA,NA,17874,249.1666667,AC,2DNC,4.166666667,2.4,3,2.066666667
1525,34.01,-97.1,5265,5297,13525,380.4761905,AC,2RIn,5,2.3,1,2.3
1533,36.96,-98.3,5573.5,7742.5,58863026,3.272619048,AC,2DNC,5,1.6,1,1.6
